"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"保崎","ほさき","寿晴","すばる",48,"45-49","男",166.6,53.6,19.3,"長崎県","大学・大学院","大学 社会科学","販売従事者","300万円～","有配偶",32,"毎日吸っている","ほとんど飲まない","やや満足"
"淵岡","ふちおか","麻愛","まあい",81,"80-84","女",158,38.9,15.6,"京都府","小学校・中学校","なし","分類不能の職業","200万円～","死別",30,"吸わない","飲まない (飲めない)","不満だ"
"四軒家","しけんや","虹依奈","にいな",25,"25-29","女",154,51.9,21.9,"東京都","大学・大学院","大学 保健","無職その他","400万円～","未婚",NA,"吸わない","月に１-３日","満足"
"音部","おとべ","加帆","かほ",37,"35-39","女",150.3,54.2,24,"大阪府","大学・大学院","大学 人文科学","無職その他","100万円～","有配偶",28,"吸わない","週３-４日","やや満足"
"木全","きまた","澪波","れな",85,"85-89","女",150.1,45.5,20.2,"岐阜県","小学校・中学校","なし","無職その他","300万円～","死別",25,"吸わない","飲まない (飲めない)","満足"
"中里見","なかざとみ","祐有子","ゆうこ",58,"55-59","女",152.9,48.6,20.8,"宮城県","高校・旧中","なし","無職その他","100万円～","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"豊山","とよやま","員音","かずね",50,"50-54","女",162.8,50.6,19.1,"福島県","高校・旧中","なし","サービス職業従事者","100万円～","有配偶",22,"吸わない","飲まない (飲めない)","満足"
"達山","たつやま","敏雅","としまさ",92,"90-94","男",160.5,51.3,19.9,"大阪府","高校・旧中","なし","無職その他","2500万円以上","死別",22,"以前は吸っていたが.１か月以上吸っていない","週５-６日","やや満足"
"市堰","いちせき","草詞","そうし",68,"65-69","男",167.8,71.2,25.3,"島根県","小学校・中学校","なし","管理的職業従事者","700万円～","有配偶",32,"吸わない","週５-６日","やや満足"
"室林","むろばやし","絵連","えれん",66,"65-69","男",162.3,62.2,23.6,"長野県","小学校・中学校","なし","無職その他","1000万円～1500万円","離別",27,"毎日吸っている","ほとんど飲まない","やや満足"
"冨舛","とみます","綺巳緒","きみお",41,"40-44","男",172.9,85.2,28.5,"岐阜県","高校・旧中","なし","事務従事者","400万円～","有配偶",30,"毎日吸っている","毎日","やや満足"
"竜田","たつた","美月","みづき",28,"25-29","男",167.6,63.2,22.5,"神奈川県","短大・高専","高専 電気情報工学","無職その他","500万円～","有配偶",28,"毎日吸っている","月に１-３日","やや満足"
"竹仲","たけなか","聖本","きよもと",83,"80-84","男",165.1,64.3,23.6,"愛知県","小学校・中学校","なし","農林漁業従事者","500万円～","有配偶",26,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"峰下","みねした","帆人","はんと",82,"80-84","男",157.4,68.4,27.6,"岡山県","小学校・中学校","なし","無職その他","200万円～","死別",26,"吸わない","月に１-３日","やや不満だ"
"一杉","ひとすぎ","留里子","るりこ",47,"45-49","女",150.9,56.9,25,"和歌山県","短大・高専","短大 家政","無職その他","100万円以下","有配偶",26,"吸わない","飲まない (飲めない)","やや満足"
"木闇","きやみ","水希愛","すきあ",43,"40-44","女",154.3,42.9,18,"埼玉県","高校・旧中","なし","事務従事者","100万円～",NA,NA,"吸わない","週５-６日","やや満足"
"小黒","おぐろ","楓菜望","ふなの",75,"75-79","女",153.6,73.1,31,"大阪府","小学校・中学校","なし","無職その他","300万円～","死別",20,"吸わない","飲まない (飲めない)","やや満足"
"仲摩","なかま","乃恋","のあ",89,"85-89","女",141.4,51.2,25.6,"愛知県","高校・旧中","なし","無職その他","400万円～","死別",25,"吸わない","毎日","不満だ"
"荻島","おぎしま","侑華","ゆうか",72,"70-74","女",156,64.2,26.4,"愛知県","高校・旧中","なし","無職その他","400万円～","有配偶",27,"吸わない","飲まない (飲めない)","やや満足"
"恩地","おんじ","草士","そうと",43,"40-44","男",161.9,68.7,26.2,"岡山県","大学・大学院","大学 社会科学","専門的・技術的職業従事者","100万円～","有配偶",28,"吸わない","月に１-３日","やや満足"
"槙前","まきまえ","重聖","しげきよ",69,"65-69","男",168,54.2,19.2,"神奈川県","高校・旧中","なし","サービス職業従事者","300万円～","有配偶",30,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"春本","はるもと","壮司","あきし",64,"60-64","男",167.7,62.2,22.1,"東京都","小学校・中学校","なし","建設・採掘従事者","500万円～","有配偶",25,"吸わない","毎日","やや不満だ"
"佐喜真","さきま","厚注","あつつぐ",54,"50-54","男",177.8,63.9,20.2,"大阪府","高校・旧中","なし","無職その他","300万円～","有配偶",22,"吸わない","毎日","やや満足"
"志麿","しま","秀一","ひでひと",64,"60-64","男",164.9,69.1,25.4,"新潟県","大学・大学院","大学 社会科学","無職その他","500万円～","有配偶",37,"毎日吸っている","毎日","やや満足"
"浜畑","はまばた","遥杏","のあ",31,"30-34","女",169.2,46.4,16.2,"富山県","短大・高専","短大 社会","無職その他","500万円～","有配偶",26,"吸わない","毎日","不満だ"
"二木","にき","亨次","こうじ",33,"30-34","男",177.3,94.3,30,"兵庫県","大学・大学院","大学 人文科学","専門的・技術的職業従事者","300万円～","有配偶",26,"吸わない","週１-２日","やや満足"
"松神","まつがみ","瑠璃々","るりり",53,"50-54","女",146.3,43.7,20.4,"神奈川県","大学・大学院","大学 保健","販売従事者","100万円～","有配偶",28,"毎日吸っている","飲まない (飲めない)","不満だ"
"出海","いずみ","美菜萌","みなも",42,"40-44","女",160,63.5,24.8,"埼玉県","短大・高専","短大 芸術","無職その他","300万円～","有配偶",25,"吸わない","月に１-３日","やや満足"
"大利","だいり","在波","あるふぁ",65,"65-69","男",160.2,61.6,24,"東京都","高校・旧中","なし","無職その他","900万円～","有配偶",32,"吸わない","月に１-３日","やや満足"
"氣賀澤","けがさわ","美伽","みとき",49,"45-49","女",161.5,69.4,26.6,"京都府","大学・大学院","大学 教育","サービス職業従事者","100万円～","有配偶",27,"吸わない","ほとんど飲まない","やや満足"
"門野","かどの","樹乃","じゅのん",69,"65-69","女",147.7,42.5,19.5,"長野県","高校・旧中","なし","無職その他","300万円～","死別",28,"吸わない","ほとんど飲まない","やや満足"
"水溜","みずたまり","卓佐","たくさ",35,"35-39","男",166.6,44.7,16.1,"神奈川県","大学・大学院","大学 工学","事務従事者","400万円～","有配偶",25,"毎日吸っている","月に１-３日","やや不満だ"
"福隅","ふくずみ","智等","ともひと",48,"45-49","男",167,46.6,16.7,"鹿児島県","高校・旧中","なし","輸送・機械運転従事者","200万円～","有配偶",38,"毎日吸っている","ほとんど飲まない","やや不満だ"
"樽谷","たるたに","愛津嵯","あづさ",67,"65-69","女",150.7,43.1,19,"神奈川県","小学校・中学校","なし","無職その他","200万円～","有配偶",30,"吸わない","ほとんど飲まない","やや満足"
"南牟礼","みなみむれ","結美英","ゆみえ",54,"50-54","女",152.1,51.6,22.3,"静岡県","高校・旧中","なし","サービス職業従事者","100万円～","有配偶",26,"吸わない","月に１-３日","やや満足"
"粒良","つぶら","景経","かげつね",27,"25-29","男",166,65.9,23.9,"神奈川県","大学・大学院","大学 理学","無職その他","800万円～","未婚",NA,"吸わない","毎日","やや満足"
"遠近","とおちか","新葉","わかば",68,"65-69","女",154.6,58.1,24.3,"長野県","大学・大学院","大学 社会科学","無職その他","500万円～","死別",43,"吸わない","飲まない (飲めない)","やや満足"
"牛安沢","ごあんざわ","里々愛","りりあ",48,"45-49","女",164.6,49,18.1,"山口県","短大・高専","短大 教養","サービス職業従事者","500万円～","有配偶",38,"吸わない","ほとんど飲まない","やや満足"
"天堂","てんどう","八重紗","やえさ",37,"35-39","女",153.2,46.2,19.7,"大阪府","短大・高専","短大 保健","生産工程従事者","400万円～","未婚",NA,"吸わない","週５-６日","不満だ"
"三簾","みすい","世喜子","せきこ",49,"45-49","女",159.8,70.5,27.6,"岐阜県","短大・高専","短大 社会","無職その他","400万円～","有配偶",32,"吸わない","やめた","不満だ"
"柾木","まさき","英旨","ひでむね",63,"60-64","男",170.5,72.4,24.9,"静岡県","高校・旧中","なし","無職その他","1000万円～1500万円","有配偶",25,"毎日吸っている","ほとんど飲まない","満足"
"駄原","だはら","井泉","いずみ",72,"70-74","男",161.6,62.9,24.1,"秋田県","高校・旧中","なし","無職その他","300万円～","有配偶",30,"以前は吸っていたが.１か月以上吸っていない","週１-２日","やや不満だ"
"国府","こくぶ","詩緒美","しおみ",42,"40-44","女",154.4,47,19.7,"東京都","短大・高専","短大 教育","無職その他","200万円～","有配偶",33,"吸わない","ほとんど飲まない","やや満足"
"平勢","ひらせ","一葉","いは",55,"55-59","女",150.6,36.5,16.1,"大分県","小学校・中学校","なし","サービス職業従事者","100万円以下","有配偶",32,"吸わない","飲まない (飲めない)","やや満足"
"金内","かなうち","拓倫","たくみち",29,"25-29","男",170.9,69.2,23.7,"大阪府","短大・高専","高専 機械工学","無職その他","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"鷹澤","たかさわ","周之介","しゅうのすけ",61,"60-64","男",170,83.5,28.9,"東京都","大学・大学院","大学 人文科学","管理的職業従事者","200万円～","有配偶",33,"吸わない","毎日","不満だ"
"住屋","すみや","彩矢夏","さやか",58,"55-59","女",155.9,58.3,24,"東京都","高校・旧中","なし","生産工程従事者","300万円～","有配偶",23,"吸わない","毎日","やや満足"
"津雲","つくも","鷹樹","たかき",67,"65-69","男",166.4,66.2,23.9,"大阪府","高校・旧中","なし","販売従事者","300万円～",NA,NA,"吸わない","毎日","不満だ"
"槙島","まきじま","翔湊","かなた",41,"40-44","男",173.3,63.7,21.2,"佐賀県","高校・旧中","なし","専門的・技術的職業従事者","500万円～","有配偶",23,"吸わない","毎日","やや満足"
"沖野","おきの","近但","ちかただ",58,"55-59","男",162.3,59,22.4,"北海道","高校・旧中","なし","生産工程従事者","300万円～","死別",32,"吸わない","ほとんど飲まない","やや不満だ"
"友寄","ともよせ","莉悠","りゆ",78,"75-79","女",146.8,54.3,25.2,"岩手県","小学校・中学校","なし","無職その他","700万円～","有配偶",25,"吸わない","ほとんど飲まない","やや不満だ"
"細越","ほそこし","紫磯子","しそこ",71,"70-74","女",151.3,49.4,21.6,"兵庫県","高校・旧中","なし","無職その他","400万円～","有配偶",35,"吸わない","飲まない (飲めない)","やや不満だ"
"飯尾","いいお","雪羽","ゆきは",54,"50-54","女",165.7,65.6,23.9,"千葉県","高校・旧中","なし","分類不能の職業","400万円～","有配偶",27,"吸わない","毎日","やや満足"
"清里","きよさと","花","はんな",84,"80-84","女",153.2,63.6,27.1,"東京都","高校・旧中","なし","無職その他","200万円～","死別",25,"吸わない","飲まない (飲めない)","やや満足"
"前渋","まえしぶ","愛里依","えりい",47,"45-49","女",156.2,50.5,20.7,"茨城県","高校・旧中","なし","無職その他","200万円～","有配偶",27,"毎日吸っている","ほとんど飲まない","やや満足"
"羽曽部","はそべ","好紗希","みさき",62,"60-64","女",150.1,45.3,20.1,"北海道","高校・旧中","なし","無職その他","100万円以下","有配偶",22,"吸わない","ほとんど飲まない","やや満足"
"先野","さきの","憂亜","ゆあ",54,"50-54","女",150.3,65.5,29,"静岡県","短大・高専","短大 人文","無職その他","100万円～","有配偶",27,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや満足"
"堂脇","どうわき","絵瑠菜","えるな",82,"80-84","女",153.2,48.3,20.6,"北海道","高校・旧中","なし","無職その他","100万円以下","死別",25,"吸わない","飲まない (飲めない)","満足"
"高鳥","たかとり","殊耶","ことや",31,"30-34","男",177.5,63,20,"岡山県","高校・旧中","なし","建設・採掘従事者","300万円～","有配偶",27,"吸わない","週５-６日","やや不満だ"
"広政","ひろまさ","海悠","みはる",50,"50-54","女",160,60.7,23.7,"熊本県","小学校・中学校","なし","事務従事者","400万円～","有配偶",41,"毎日吸っている","飲まない (飲めない)","やや満足"
"妻鹿","つましか","夏翔","なつと",93,"90-94","女",145.4,34.2,16.2,"山形県","高校・旧中","なし","無職その他","400万円～","死別",41,"吸わない","飲まない (飲めない)","やや満足"
"犬童","けんどう","節朗","せつろう",85,"85-89","男",169,61.1,21.4,"千葉県","小学校・中学校","なし","無職その他","700万円～","死別",27,"吸わない","週１-２日","やや満足"
"川辺","かわべ","晴介","せいすけ",86,"85-89","男",166.3,53.9,19.5,"高知県","小学校・中学校","なし","無職その他","700万円～","死別",25,"吸わない","毎日","不満だ"
"坂谷内","さかやうち","秀孟","ひでたけ",55,"55-59","男",168.8,73.2,25.7,"香川県","大学・大学院","大学 保健","建設・採掘従事者","600万円～","有配偶",26,"吸わない","ほとんど飲まない","やや満足"
"波佐間","はざま","津佳佐","つかさ",40,"40-44","男",168,64.1,22.7,"東京都","高校・旧中","なし","販売従事者","600万円～","有配偶",25,"吸わない","週５-６日","やや不満だ"
"辻坂","つじさか","夏理南","かりな",36,"35-39","女",160.7,52.4,20.3,"和歌山県","短大・高専","短大 家政","専門的・技術的職業従事者","300万円～","有配偶",27,"吸わない","週１-２日","やや満足"
"野戸","のと","見紅","みくれ",67,"65-69","女",150.8,48.9,21.5,"兵庫県","高校・旧中","なし","無職その他","100万円～","死別",27,"吸わない","飲まない (飲めない)","やや満足"
"桑古","くわこ","剛塁","たける",51,"50-54","男",176.6,88.3,28.3,"岩手県","高校・旧中","なし","運搬・清掃・包装等従事者","300万円～","有配偶",20,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや不満だ"
"鴻井","こうい","沙奈","せな",94,"90-94","女",154.2,71.1,29.9,"北海道","小学校・中学校","なし","無職その他","100万円以下","死別",38,"吸わない","月に１-３日","やや満足"
"佐古田","さこた","諭聖","ゆたか",29,"25-29","男",172.9,87.3,29.2,"愛知県","高校・旧中","なし","運搬・清掃・包装等従事者","700万円～","有配偶",22,"吸わない","飲まない (飲めない)","やや満足"
"鵜沼","うぬま","学瀬","まなせ",43,"40-44","女",150.9,51,22.4,"茨城県","高校・旧中","なし","事務従事者","500万円～","有配偶",20,"吸わない","ほとんど飲まない","不満だ"
"海馬沢","かいばざわ","愛衣","まなえ",20,"20-24","女",152.9,45.8,19.6,"和歌山県","高校・旧中","なし","無職その他","100万円以下","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"槙林","まきばやし","実允","さねみつ",93,"90-94","男",161.9,62.6,23.9,"東京都","小学校・中学校","なし","無職その他","300万円～","死別",45,"吸わない","飲まない (飲めない)","不満だ"
"滝野","たきの","紗矢佳","さやか",74,"70-74","男",166.9,62.7,22.5,"長野県","小学校・中学校","なし","販売従事者","500万円～","有配偶",36,"吸わない","毎日","やや満足"
"百澤","ももざわ","奏児","そうじ",67,"65-69","男",170.6,81.2,27.9,"兵庫県","大学・大学院","大学 理学","無職その他","400万円～","有配偶",35,"吸わない","毎日","やや満足"
"伏黒","ふしくろ","柚満","ゆま",61,"60-64","男",169.9,58.6,20.3,"千葉県","高校・旧中","なし","無職その他","400万円～","有配偶",43,"以前は吸っていたが.１か月以上吸っていない","週１-２日","やや満足"
"橋山","はしやま","優衣花","ゆいか",27,"25-29","男",169.2,59.5,20.8,"群馬県","高校・旧中","なし","販売従事者","400万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"紀田","きだ","由貴奈","ゆきな",20,"20-24","女",149.7,34.5,15.4,"茨城県","高校・旧中","なし","無職その他","200万円～","未婚",NA,"吸わない","月に１-３日","やや満足"
"鳥崎","とりさき","希由","きゆ",67,"65-69","女",156,58.6,24.1,"神奈川県","高校・旧中","なし","無職その他","100万円～","有配偶",32,"吸わない","飲まない (飲めない)","やや満足"
"千間","せんま","孝哉","たかちか",17,"15-19","男",184.7,94.8,27.8,"岡山県","小学校・中学校","なし","無職その他","300万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"田貝","たがい","奏介","そうすけ",68,"65-69","男",163.4,66.2,24.8,"宮城県","高校・旧中","なし","生産工程従事者","200万円～","有配偶",22,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","不満だ"
"奥津","おくつ","幸世","さちよ",62,"60-64","女",155.2,42.6,17.7,"東京都","高校・旧中","なし","無職その他","200万円～","有配偶",20,"吸わない","飲まない (飲めない)","やや不満だ"
"弘原海","わだつみ","冴葵","さき",66,"65-69","女",156.7,59.2,24.1,"青森県","小学校・中学校","なし","無職その他","100万円～","離別",28,"吸わない","飲まない (飲めない)","やや満足"
"海老原","えびはら","暖優","あやさ",55,"55-59","女",159.5,66.1,26,"兵庫県","高校・旧中","なし","無職その他","100万円～","有配偶",23,"吸わない","週５-６日","満足"
"腰高","こしたか","真城","ましろ",85,"85-89","女",150.8,50.7,22.3,"千葉県","高校・旧中","なし","無職その他","400万円～","有配偶",20,"吸わない","飲まない (飲めない)","やや不満だ"
"中城","なかじょう","速貴","はやたか",52,"50-54","男",173.6,85.3,28.3,"東京都","大学・大学院","大学 工学","専門的・技術的職業従事者","400万円～","有配偶",25,"毎日吸っている","週３-４日","どちらともいえない"
"河西","かさい","怜路","れる",35,"35-39","女",150.7,39.5,17.4,"沖縄県","短大・高専","短大 人文","無職その他","100万円以下","有配偶",21,"吸わない","週３-４日","やや満足"
"久宝","くぼう","夏代","かよ",17,"15-19","女",160.6,52.4,20.3,"大分県","小学校・中学校","なし","無職その他","100万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"安座上","あざがみ","晴時","はるとき",42,"40-44","男",163.4,79.8,29.9,"和歌山県","高校・旧中","なし","建設・採掘従事者","300万円～","有配偶",26,"毎日吸っている","週１-２日","やや満足"
"角内","かくうち","桧璃","かいり",56,"55-59","女",158.1,65.7,26.3,"埼玉県","大学・大学院","大学 社会科学","サービス職業従事者","200万円～","有配偶",33,"吸わない","飲まない (飲めない)","満足"
"岸端","きしばた","毅","たけし",60,"60-64","男",172.3,74.5,25.1,"福岡県","高校・旧中","なし","販売従事者","400万円～","有配偶",28,"吸わない","毎日","やや満足"
"小甲","こかぶ","季音梨","いおり",68,"65-69","女",146.5,60.7,28.3,"山口県","高校・旧中","なし","無職その他","500万円～","有配偶",31,"吸わない","飲まない (飲めない)","やや満足"
"大雁丸","おおがんまる","理夕","りゆ",52,"50-54","女",158.3,47.4,18.9,"埼玉県","大学・大学院","大学 人文科学","サービス職業従事者","100万円～","有配偶",26,"吸わない","飲まない (飲めない)","やや不満だ"
"従野","よりの","走二","そうじ",70,"70-74","男",162.6,56.8,21.5,"神奈川県","短大・高専","高専 電気電子工学","無職その他","300万円～","有配偶",38,"吸わない","飲まない (飲めない)","やや満足"
"組橋","くみはし","日々人","ひびと",24,"20-24","男",180.5,61.6,18.9,"愛知県","大学・大学院","大学 工学","専門的・技術的職業従事者","400万円～","有配偶",21,"時々吸う日がある","月に１-３日","やや満足"
"竹上","たけうえ","行羽","ゆきは",40,"40-44","女",155,54.1,22.5,"千葉県","高校・旧中","なし","サービス職業従事者","100万円以下","離別",38,"吸わない","毎日","やや満足"
"神戸中","みとなか","灯砂奈","ひさな",28,"25-29","女",154,51,21.5,"宮崎県","短大・高専","短大 保健","販売従事者","400万円～","未婚",NA,"吸わない","月に１-３日","やや満足"
"三末","みすえ","降雪","ふゆ",73,"70-74","女",147.1,49.6,22.9,"福島県","小学校・中学校","なし","無職その他","300万円～","死別",26,"吸わない","飲まない (飲めない)","満足"
"三間","みつま","深葵","みき",25,"25-29","女",158.7,62.5,24.8,"愛知県","大学・大学院","大学 社会科学","無職その他","600万円～","未婚",NA,"吸わない","週１-２日","やや満足"
"鞍馬","くらま","流蘭","るら",21,"20-24","女",157.8,49.8,20,"埼玉県","短大・高専","短大 人文","分類不能の職業","100万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"西蔭","にしかげ","市夏","いちか",34,"30-34","女",162.9,46.7,17.6,"滋賀県","高校・旧中","なし","販売従事者","100万円以下",NA,NA,"吸わない","月に１-３日","やや不満だ"
"蟻坂","ありさか","速活","はやかつ",66,"65-69","男",171.3,71,24.2,"岡山県","高校・旧中","なし","輸送・機械運転従事者","400万円～","有配偶",26,"吸わない","ほとんど飲まない","やや満足"
"清吾","せいご","興治","おきはる",51,"50-54","男",169.3,65.4,22.8,"岐阜県","高校・旧中","なし","運搬・清掃・包装等従事者","1000万円～1500万円","有配偶",25,"吸わない","飲まない (飲めない)","やや不満だ"
"姉崎","あねさき","睦夏","むな",23,"20-24","女",152.8,53.2,22.8,"長野県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","離別",23,"吸わない","飲まない (飲めない)","やや満足"
"一家","ひとつや","宙時","みちとき",55,"55-59","男",174.2,73.7,24.3,"静岡県","大学・大学院","大学院 工学","無職その他","400万円～","有配偶",37,"毎日吸っている","週５-６日","不満だ"
"増子","ますこ","輝依","きい",66,"65-69","女",152.1,63.9,27.6,"鹿児島県","小学校・中学校","なし","無職その他","300万円～","有配偶",27,"吸わない","毎日","満足"
"牧澤","まきざわ","歩環","ふわ",48,"45-49","女",160,55,21.5,"東京都","短大・高専","短大 芸術","生産工程従事者","300万円～","有配偶",25,"吸わない","ほとんど飲まない","やや満足"
"田出谷","たでや","架名","かな",46,"45-49","女",151,55.6,24.4,"埼玉県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","有配偶",25,"毎日吸っている","毎日","やや満足"
"政元","まさもと","状","じょう",62,"60-64","男",170.9,70.7,24.2,"埼玉県","大学・大学院","大学 社会科学","無職その他","600万円～","有配偶",38,"毎日吸っている","週５-６日","やや満足"
"藤咲","ふじさく","想心","もも",49,"45-49","女",154.7,48.1,20.1,"神奈川県","高校・旧中","なし","無職その他","100万円以下","有配偶",37,"時々吸う日がある","ほとんど飲まない","やや不満だ"
"安達","あだち","佑輔","ゆうすけ",79,"75-79","男",159.7,79.3,31.1,"神奈川県","高校・旧中","なし","無職その他","400万円～","有配偶",23,"吸わない","ほとんど飲まない","やや満足"
"桶川","おけがわ","綾牙","りょうが",51,"50-54","男",173.5,65.9,21.9,"佐賀県","小学校・中学校","なし","建設・採掘従事者","100万円以下","有配偶",31,"吸わない","飲まない (飲めない)","やや満足"
"倉ヶ崎","くらがさき","綾璃","あやり",19,"15-19","女",157.2,37.3,15.1,"東京都","高校・旧中","なし","無職その他","100万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"進野","しんの","親嘉","ちかよし",29,"25-29","男",174.6,81.1,26.6,"神奈川県","大学・大学院","大学 工学","生産工程従事者","300万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"坂","ばん","架琉等","かるら",85,"85-89","女",152.2,50.5,21.8,"徳島県","小学校・中学校","なし","無職その他","300万円～","死別",31,"吸わない","飲まない (飲めない)","やや不満だ"
"男澤","おざわ","藤建","ふじたつ",43,"40-44","男",166.8,58.1,20.9,"埼玉県","小学校・中学校","なし","生産工程従事者","400万円～","有配偶",25,"吸わない","毎日","やや満足"
"迫屋","さこや","真優佳","まゆか",65,"65-69","女",148.2,46.8,21.3,"岡山県","小学校・中学校","なし","建設・採掘従事者","100万円～","有配偶",32,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや満足"
"入","いり","米絵","まいえ",31,"30-34","女",167,60.2,21.6,"高知県","高校・旧中","なし","生産工程従事者","400万円～","有配偶",28,"吸わない","飲まない (飲めない)","満足"
"子生谷","こびたに","三朗","さぶろう",39,"35-39","男",176.9,82.6,26.4,"長崎県","短大・高専","短大 社会","専門的・技術的職業従事者","200万円～","有配偶",35,"毎日吸っている","週３-４日","やや満足"
"砂長","すななが","紗衣菜","しゃいな",66,"65-69","女",154,65,27.4,"富山県","高校・旧中","なし","無職その他","100万円以下","有配偶",30,"吸わない","飲まない (飲めない)","やや不満だ"
"西須","にしす","近之進","きんのしん",29,"25-29","男",164.1,51.2,19,"三重県","大学・大学院","大学 社会科学","販売従事者","200万円～","未婚",NA,"毎日吸っている","飲まない (飲めない)","やや不満だ"
"荒井","あらい","美香礼","みかれ",49,"45-49","女",155.1,52.2,21.7,"東京都","短大・高専","短大 人文","専門的・技術的職業従事者","200万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"泰野","やすの","成忠","なりただ",71,"70-74","男",163.5,53.7,20.1,"広島県","高校・旧中","なし","生産工程従事者","500万円～","有配偶",36,"吸わない","毎日","やや満足"
"永谷","ながや","杏蜜","あんみ",83,"80-84","女",153,68.4,29.2,"神奈川県","高校・旧中","なし","無職その他","100万円～","有配偶",31,"吸わない","毎日","満足"
"里野","さとの","瑚岬","こさき",17,"15-19","女",171.4,64.9,22.1,"栃木県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"九冨","くとみ","春南","しゅんな",15,"15-19","女",162,53.5,20.4,"三重県","小学校・中学校","なし","無職その他","100万円以下","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"田野保","たのほ","望瑠","みちる",39,"35-39","女",159.6,52.7,20.7,"東京都","短大・高専","短大 教育","専門的・技術的職業従事者","100万円以下","有配偶",36,"吸わない","月に１-３日","満足"
"矢吹","やぶき","菊衛門","きくえもん",73,"70-74","男",155.2,64.1,26.6,"長崎県","大学・大学院","大学 社会科学","無職その他","200万円～","有配偶",31,"吸わない","毎日","不満だ"
"宇鷹","うたか","空佐南","あさな",50,"50-54","女",156.1,57.5,23.6,"神奈川県","短大・高専","高専 電気電子工学","無職その他","400万円～","有配偶",38,"吸わない","毎日","やや満足"
"椿井","つばきい","辰介","しんすけ",30,"30-34","男",169.2,66.1,23.1,"香川県","短大・高専","高専 電気情報工学","生産工程従事者","400万円～","有配偶",23,"毎日吸っている","月に１-３日","やや満足"
"米","よね","琳南","りんな",84,"80-84","女",153,57.8,24.7,"鳥取県","高校・旧中","なし","無職その他","600万円～","死別",26,"吸わない","飲まない (飲めない)","やや満足"
"牛草","うしぐさ","麻名","まな",27,"25-29","女",158.8,41.6,16.5,"大分県","大学・大学院","大学 芸術","無職その他","500万円～","未婚",NA,"吸わない","週１-２日","やや満足"
"釣谷","つるや","久梨須","くりす",64,"60-64","女",156.2,62.9,25.8,"高知県","高校・旧中","なし","農林漁業従事者","200万円～","有配偶",25,"吸わない","ほとんど飲まない","やや満足"
"磯輪","いそわ","恭規","ゆき",84,"80-84","女",150.7,72,31.7,"愛知県","高校・旧中","なし","無職その他","300万円～","死別",33,"吸わない","週５-６日","やや満足"
"嘉納","かのう","野々美","ののみ",57,"55-59","女",159.6,49.9,19.6,"神奈川県","高校・旧中","なし","専門的・技術的職業従事者","100万円～","有配偶",33,"吸わない","飲まない (飲めない)","やや不満だ"
"万井","まんい","桐宏","きりひろ",28,"25-29","男",166.5,67.9,24.5,"兵庫県","高校・旧中","なし","保安職業従事者","500万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"海見","かいみ","拓芳","たくよし",51,"50-54","男",165.5,52.9,19.3,"栃木県","短大・高専","高専 機械工学","建設・採掘従事者","300万円～","有配偶",45,"吸わない","ほとんど飲まない","やや満足"
"上遠野","かどの","実智英","みちえ",23,"20-24","女",161.7,70.6,27,"三重県","大学・大学院","大学 芸術","無職その他","700万円～","未婚",NA,"吸わない","週１-２日","やや満足"
"庭月野","にわつきの","角虫","つのむ",44,"40-44","男",164,68,25.3,"兵庫県","短大・高専","高専 電子制御工学","輸送・機械運転従事者","600万円～","有配偶",25,"以前は吸っていたが.１か月以上吸っていない","週５-６日","やや満足"
"間橋","まばし","巴哉斗","はやと",24,"20-24","男",168.3,80.2,28.3,"東京都","大学・大学院","大学 社会科学","生産工程従事者","100万円～","未婚",NA,"時々吸う日がある","週１-２日","やや満足"
"安枝","やすえだ","愛輝","あきら",43,"40-44","女",163.7,56.3,21,"栃木県","小学校・中学校","なし","無職その他","100万円～","有配偶",26,"吸わない","週３-４日","やや満足"
